host_ID,host_species,village,grid,season,sex,mass,dist_village,pathogen,otu_Order,otu_Family,otu_Genus,sum_relative_reads,OTU_ID,pathogen_type
2460,Rattus rattus,Mandena,village,2,female,27.5,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.744304472281691,76,Protozoa
3567,Rattus rattus,Andatsakala,secondary_forest,1,male,114,2.08,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.246340403621906,76,Protozoa
2769,Rattus rattus,Mandena,agroforest,3,female,69,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.610375715136955,76,Protozoa
2613,Rattus rattus,Mandena,flooded_rice,3,male,35.5,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.464285721608088,76,Protozoa
2605,Rattus rattus,Mandena,flooded_rice,3,female,118,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.95906222478481,76,Protozoa
2643,Rattus rattus,Mandena,flooded_rice,3,male,152,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,1,76,Protozoa
2978,Rattus rattus,Sarahandrano,village,1,female,128,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.283789563391947,76,Protozoa
3041,Rattus rattus,Sarahandrano,agroforest,2,male,148,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.271999967731026,76,Protozoa
3284,Rattus rattus,Sarahandrano,agriculture,3,male,92.5,1.1,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.985447758728436,76,Protozoa
3952,Rattus rattus,Andatsakala,village,3,male,106,0,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.649444712146615,76,Protozoa
2152,Rattus rattus,Mandena,flooded_rice,1,female,115,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0934993658868331,76,Protozoa
2429,Rattus rattus,Mandena,flooded_rice,2,male,113,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0760869524291113,76,Protozoa
